Group - valuename - Similarity
1 - 1 - -
1 - 2 - 0.6
1 - 3 - 0.6
1 - 4 - 0.6
1 - 5 - 0.6
1 - 6 - 0.6
1 - 7 - 0.6
1 - 8 - 0.6
9 - 9 - -
10 - 10 - -
11 - 11 - -
12 - 12 - -
13 - 13 - -
13 - 14 - 0.8
15 - 15 - -
16 - 16 - -
16 - 17 - 0.9
16 - 18 - 0.7
19 - 19 - -
19 - 23 - 0.6
20 - 20 - -
20 - 21 - 0.9
20 - 22 - 0.9
24 - 24 - -
25 - 25 - -
26 - 26 - -
26 - 107 - 0.1
26 - 108 - 0.2
26 - 110 - 0.1
26 - 111 - 0.2
26 - 112 - 0.1
26 - 113 - 0.2
26 - 114 - 0.2
26 - 115 - 0.2
26 - 116 - 0.2
26 - 117 - 0.2
26 - 118 - 0.2
26 - 119 - 0.1
26 - 120 - 0.2
26 - 121 - 0.3
26 - 122 - 0.2
26 - 123 - 0.2
26 - 124 - 0.2
26 - 125 - 0.2
26 - 126 - 0.1
26 - 127 - 0.1
26 - 128 - 0.1
26 - 129 - 0.2
26 - 130 - 0.2
26 - 131 - 0.2
26 - 132 - 0.2
26 - 133 - 0.2
26 - 134 - 0.2
26 - 135 - 0.2
26 - 136 - 0.1
26 - 137 - 0.1
26 - 138 - 0.3
26 - 139 - 0.2
26 - 140 - 0.1
26 - 141 - 0.1
26 - 142 - 0.2
26 - 143 - 0.2
26 - 144 - 0.1
26 - 145 - 0.2
26 - 146 - 0.3
26 - 147 - 0.4
26 - 148 - 0.3
26 - 149 - 0.4
26 - 150 - 0.3
26 - 151 - 0.5
26 - 152 - 0.4
26 - 153 - 0.4
26 - 154 - 0.4
26 - 155 - 0.5
26 - 156 - 0.5
26 - 157 - 0.4
26 - 158 - 0.3
26 - 159 - 0.4
26 - 160 - 0.4
26 - 161 - 0.4
26 - 162 - 0.4
26 - 163 - 0.3
26 - 164 - 0.2
26 - 165 - 0.2
26 - 166 - 0.3
26 - 167 - 0.3
26 - 168 - 0.3
26 - 169 - 0.2
26 - 170 - 0.3
26 - 171 - 0.4
26 - 172 - 0.4
26 - 173 - 0.3
26 - 174 - 0.3
26 - 175 - 0.4
26 - 176 - 0.4
26 - 177 - 0.3
26 - 178 - 0.3
26 - 179 - 0.2
26 - 180 - 0.3
26 - 181 - 0.2
26 - 182 - 0.2
26 - 183 - 0.3
26 - 184 - 0.3
26 - 185 - 0.4
26 - 186 - 0.2
26 - 187 - 0.4
26 - 188 - 0.2
26 - 189 - 0.4
26 - 190 - 0.4
26 - 191 - 0.4
26 - 192 - 0.6
26 - 193 - 0.5
26 - 194 - 0.5
26 - 195 - 0.6
26 - 196 - 0.7
26 - 197 - 0.5
26 - 198 - 0.7
26 - 199 - 0.7
26 - 200 - 0.7
26 - 201 - 0.7
26 - 202 - 0.5
26 - 203 - 0.5
26 - 204 - 0.5
26 - 205 - 0.6
26 - 206 - 0.6
26 - 207 - 0.6
26 - 208 - 0.5
26 - 209 - 0.6
26 - 210 - 0.6
26 - 211 - 0.5
26 - 212 - 0.4
26 - 213 - 0.6
26 - 214 - 0.5
26 - 215 - 0.7
26 - 216 - 0.7
26 - 217 - 0.7
26 - 218 - 0.7
26 - 219 - 0.7
26 - 220 - 0.5
26 - 221 - 0.5
26 - 222 - 0.5
26 - 223 - 0.6
26 - 224 - 0.5
26 - 225 - 0.4
26 - 226 - 0.7
26 - 227 - 0.4
26 - 228 - 0.6
26 - 229 - 0.6
26 - 230 - 0.6
26 - 231 - 0.4
26 - 232 - 0.6
26 - 233 - 0.6
26 - 234 - 0.6
26 - 235 - 0.6
26 - 236 - 0.6
26 - 237 - 0.6
