Group - valuename - Similarity
1 - 1 - -
1 - 2 - 0.4
1 - 4 - 0.2
1 - 7 - 0.2
1 - 14 - 0.3
1 - 16 - 0.3
1 - 17 - 0.3
1 - 19 - 0.3
1 - 22 - 0.3
1 - 24 - 0.2
1 - 25 - 0.3
1 - 26 - 0.3
1 - 32 - 0.3
1 - 33 - 0.3
1 - 35 - 0.3
1 - 37 - 0.3
1 - 38 - 0.2
1 - 40 - 0.3
1 - 43 - 0.3
1 - 44 - 0.3
1 - 46 - 0.2
1 - 48 - 0.3
1 - 49 - 0.3
1 - 55 - 0.3
1 - 57 - 0.3
1 - 60 - 0.3
1 - 61 - 0.3
1 - 63 - 0.2
1 - 64 - 0.3
1 - 65 - 0.2
1 - 70 - 0.3
1 - 72 - 0.3
1 - 73 - 0.3
1 - 74 - 0.3
1 - 75 - 0.3
1 - 77 - 0.2
1 - 78 - 0.3
1 - 81 - 0.2
1 - 82 - 0.3
1 - 83 - 0.3
1 - 89 - 0.3
1 - 90 - 0.2
1 - 94 - 0.3
1 - 98 - 0.3
1 - 101 - 0.3
1 - 103 - 0.3
1 - 104 - 0.3
1 - 108 - 0.3
1 - 111 - 0.3
1 - 112 - 0.3
1 - 118 - 0.3
1 - 121 - 0.3
1 - 127 - 0.3
1 - 130 - 0.3
1 - 132 - 0.3
1 - 133 - 0.3
1 - 134 - 0.4
1 - 136 - 0.3
1 - 138 - 0.3
1 - 139 - 0.3
1 - 141 - 0.3
1 - 142 - 0.3
1 - 143 - 0.4
1 - 145 - 0.3
1 - 146 - 0.3
1 - 147 - 0.3
1 - 148 - 0.3
1 - 149 - 0.2
1 - 151 - 0.3
1 - 152 - 0.3
1 - 154 - 0.3
1 - 158 - 0.3
1 - 159 - 0.4
1 - 161 - 0.4
1 - 164 - 0.3
1 - 165 - 0.3
1 - 166 - 0.3
1 - 171 - 0.3
1 - 172 - 0.2
1 - 173 - 0.3
1 - 178 - 0.3
1 - 180 - 0.2
1 - 181 - 0.3
1 - 184 - 0.3
1 - 187 - 0.3
1 - 189 - 0.3
1 - 191 - 0.3
1 - 194 - 0.3
1 - 195 - 0.3
1 - 197 - 0.2
1 - 198 - 0.3
1 - 200 - 0.2
1 - 204 - 0.3
1 - 206 - 0.3
1 - 207 - 0.3
1 - 208 - 0.3
1 - 212 - 0.3
1 - 214 - 0.2
1 - 215 - 0.2
1 - 220 - 0.3
1 - 221 - 0.3
1 - 229 - 0.3
1 - 231 - 0.3
1 - 232 - 0.4
1 - 234 - 0.3
1 - 236 - 0.4
1 - 240 - 0.3
1 - 241 - 0.3
1 - 243 - 0.3
1 - 244 - 0.3
1 - 246 - 0.3
1 - 247 - 0.3
1 - 250 - 0.3
1 - 251 - 0.3
1 - 252 - 0.3
1 - 254 - 0.2
1 - 255 - 0.3
1 - 257 - 0.3
1 - 258 - 0.3
1 - 260 - 0.3
1 - 261 - 0.3
1 - 264 - 0.3
1 - 265 - 0.3
1 - 266 - 0.3
1 - 268 - 0.2
1 - 270 - 0.3
1 - 274 - 0.3
1 - 275 - 0.3
1 - 277 - 0.3
1 - 281 - 0.3
1 - 283 - 0.3
1 - 284 - 0.4
1 - 288 - 0.2
1 - 289 - 0.3
1 - 291 - 0.3
1 - 294 - 0.3
1 - 295 - 0.3
1 - 296 - 0.3
1 - 297 - 0.3
1 - 300 - 0.2
1 - 301 - 0.3
1 - 302 - 0.3
1 - 303 - 0.2
1 - 304 - 0.3
1 - 306 - 0.3
1 - 307 - 0.3
1 - 308 - 0.3
1 - 313 - 0.3
1 - 315 - 0.3
1 - 316 - 0.2
1 - 318 - 0.2
1 - 319 - 0.3
1 - 324 - 0.4
1 - 329 - 0.3
1 - 331 - 0.4
1 - 332 - 0.3
1 - 333 - 0.3
1 - 335 - 0.3
1 - 338 - 0.3
1 - 341 - 0.2
