Group - valuename - Similarity
1 - 1 - -
1 - 10 - 0.4
1 - 13 - 0.3
1 - 14 - 0.3
1 - 19 - 0.4
1 - 33 - 0.3
1 - 34 - 0.3
1 - 228 - 0.4
1 - 233 - 0.3
1 - 234 - 0.4
1 - 235 - 0.4
1 - 240 - 0.4
1 - 244 - 0.3
1 - 245 - 0.3
1 - 250 - 0.5
1 - 254 - 0.4
1 - 255 - 0.3
1 - 256 - 0.4
1 - 257 - 0.4
1 - 258 - 0.3
1 - 261 - 0.5
1 - 262 - 0.5
1 - 263 - 0.4
1 - 266 - 0.4
1 - 268 - 0.3
1 - 271 - 0.4
1 - 273 - 0.4
1 - 277 - 0.4
1 - 279 - 0.4
1 - 284 - 0.5
2 - 2 - -
2 - 135 - 0.2
2 - 136 - 0.3
2 - 137 - 0.3
2 - 138 - 0.2
2 - 139 - 0.3
2 - 140 - 0.3
2 - 141 - 0.2
2 - 142 - 0.3
2 - 145 - 0.3
2 - 146 - 0.4
2 - 498 - 0.2
2 - 536 - 0.2
2 - 538 - 0.3
2 - 540 - 0.3
2 - 541 - 0.2
2 - 542 - 0.2
2 - 544 - 0.2
2 - 546 - 0.2
2 - 547 - 0.3
2 - 548 - 0.2
2 - 550 - 0.3
2 - 551 - 0.3
2 - 552 - 0.2
2 - 553 - 0.2
2 - 554 - 0.3
2 - 555 - 0.2
2 - 556 - 0.3
2 - 557 - 0.2
2 - 558 - 0.2
2 - 559 - 0.3
2 - 560 - 0.2
2 - 561 - 0.2
2 - 562 - 0.2
2 - 565 - 0.3
2 - 769 - 0.2
2 - 771 - 0.2
2 - 773 - 0.2
2 - 774 - 0.3
2 - 776 - 0.3
2 - 777 - 0.3
2 - 778 - 0.3
2 - 779 - 0.5
2 - 782 - 0.3
2 - 783 - 0.4
2 - 784 - 0.2
2 - 785 - 0.3
2 - 786 - 0.3
3 - 3 - -
4 - 4 - -
5 - 5 - -
5 - 6 - 0.8
7 - 7 - -
8 - 8 - -
9 - 9 - -
11 - 11 - -
12 - 12 - -
15 - 15 - -
16 - 16 - -
17 - 17 - -
17 - 18 - 0.9
20 - 20 - -
21 - 21 - -
21 - 22 - 0.6
21 - 27 - 0.4
21 - 28 - 0.4
21 - 189 - 0.2
21 - 190 - 0.1
21 - 191 - 0.2
21 - 192 - 0.1
21 - 193 - 0.2
21 - 194 - 0.1
21 - 195 - 0.2
21 - 196 - 0.1
21 - 197 - 0.2
21 - 198 - 0.1
21 - 199 - 0.2
21 - 200 - 0.1
21 - 201 - 0.2
21 - 202 - 0.1
21 - 203 - 0.2
21 - 204 - 0.1
21 - 205 - 0.3
21 - 206 - 0.2
21 - 207 - 0.3
21 - 208 - 0.2
21 - 209 - 0.2
21 - 210 - 0.1
21 - 211 - 0.2
21 - 212 - 0.3
21 - 213 - 0.2
21 - 214 - 0.2
21 - 217 - 0.2
21 - 218 - 0.2
21 - 219 - 0.2
21 - 220 - 0.2
21 - 231 - 0.5
21 - 232 - 0.3
21 - 237 - 0.4
21 - 238 - 0.5
21 - 270 - 0.4
21 - 281 - 0.4
21 - 282 - 0.4
21 - 566 - 0.2
21 - 567 - 0.2
21 - 569 - 0.3
21 - 570 - 0.2
21 - 571 - 0.2
21 - 572 - 0.2
21 - 573 - 0.2
21 - 574 - 0.2
21 - 576 - 0.1
21 - 577 - 0.2
21 - 578 - 0.2
21 - 580 - 0.2
21 - 581 - 0.2
21 - 583 - 0.2
21 - 585 - 0.2
21 - 587 - 0.2
21 - 588 - 0.2
21 - 589 - 0.2
21 - 590 - 0.2
21 - 591 - 0.2
21 - 593 - 0.3
21 - 594 - 0.3
21 - 595 - 0.2
21 - 597 - 0.2
21 - 599 - 0.2
21 - 601 - 0.2
21 - 603 - 0.3
21 - 604 - 0.2
21 - 605 - 0.3
21 - 606 - 0.2
21 - 607 - 0.3
21 - 609 - 0.2
21 - 610 - 0.2
21 - 611 - 0.1
21 - 612 - 0.3
21 - 613 - 0.2
21 - 614 - 0.3
21 - 615 - 0.2
21 - 616 - 0.2
21 - 617 - 0.2
21 - 618 - 0.2
21 - 619 - 0.2
21 - 620 - 0.2
21 - 621 - 0.2
21 - 622 - 0.2
21 - 623 - 0.3
21 - 624 - 0.3
21 - 625 - 0.2
21 - 626 - 0.1
21 - 627 - 0.3
21 - 628 - 0.3
21 - 630 - 0.3
21 - 632 - 0.2
21 - 633 - 0.2
21 - 634 - 0.3
21 - 635 - 0.2
21 - 636 - 0.1
21 - 637 - 0.2
21 - 638 - 0.3
21 - 639 - 0.2
21 - 640 - 0.2
21 - 641 - 0.3
21 - 643 - 0.2
21 - 645 - 0.2
21 - 833 - 0.1
21 - 834 - 0.1
21 - 835 - 0.2
21 - 836 - 0.2
21 - 837 - 0.2
21 - 838 - 0.2
21 - 840 - 0.2
21 - 842 - 0.2
21 - 843 - 0.2
21 - 844 - 0.2
21 - 845 - 0.1
21 - 846 - 0.2
21 - 847 - 0.1
21 - 848 - 0.2
21 - 849 - 0.2
21 - 850 - 0.2
21 - 851 - 0.1
21 - 852 - 0.1
21 - 855 - 0.2
21 - 856 - 0.2
21 - 857 - 0.1
21 - 858 - 0.2
21 - 859 - 0.2
21 - 860 - 0.2
21 - 861 - 0.3
21 - 862 - 0.2
21 - 864 - 0.2
23 - 23 - -
23 - 25 - 0.5
24 - 24 - -
26 - 26 - -
29 - 29 - -
30 - 30 - -
31 - 31 - -
32 - 32 - -
35 - 35 - -
35 - 36 - 0.7
37 - 37 - -
38 - 38 - -
39 - 39 - -
40 - 40 - -
41 - 41 - -
41 - 42 - 0.5
43 - 43 - -
43 - 44 - 0.9
45 - 45 - -
46 - 46 - -
47 - 47 - -
47 - 48 - 0.8
47 - 49 - 0.5
47 - 51 - 0.6
47 - 52 - 0.5
