Group - valuename - Similarity
1 - 1 - -
1 - 3 - 0.4
1 - 4 - 0.3
1 - 7 - 0.2
1 - 8 - 0.2
1 - 9 - 0.5
1 - 10 - 0.4
1 - 13 - 0.3
1 - 14 - 0.3
1 - 19 - 0.4
1 - 20 - 0.2
1 - 21 - 0.4
1 - 22 - 0.2
1 - 23 - 0.5
1 - 25 - 0.3
1 - 26 - 0.2
1 - 27 - 0.4
1 - 28 - 0.4
1 - 31 - 0.5
1 - 33 - 0.3
1 - 34 - 0.3
1 - 35 - 0.4
1 - 37 - 0.4
1 - 38 - 0.2
1 - 39 - 0.4
1 - 40 - 0.2
1 - 41 - 0.3
1 - 45 - 0.3
2 - 2 - -
2 - 15 - 0.2
2 - 16 - 0.2
2 - 24 - 0.3
2 - 29 - 0.4
2 - 30 - 0.4
2 - 32 - 0.4
2 - 47 - 0.2
2 - 48 - 0.1
2 - 49 - 0.2
2 - 50 - 0.2
2 - 51 - 0.2
2 - 52 - 0.2
2 - 53 - 0.2
2 - 54 - 0.2
2 - 55 - 0.2
2 - 56 - 0.2
2 - 57 - 0.1
2 - 58 - 0.2
2 - 59 - 0.1
2 - 60 - 0.2
2 - 61 - 0.2
2 - 62 - 0.2
2 - 63 - 0.2
2 - 64 - 0.2
2 - 65 - 0.1
2 - 66 - 0.1
2 - 67 - 0.2
2 - 68 - 0.2
2 - 69 - 0.2
2 - 70 - 0.2
2 - 71 - 0.2
2 - 72 - 0.1
2 - 73 - 0.2
2 - 74 - 0.1
2 - 75 - 0.2
2 - 76 - 0.2
2 - 77 - 0.2
2 - 78 - 0.2
2 - 79 - 0.2
2 - 80 - 0.1
2 - 81 - 0.1
2 - 82 - 0.1
2 - 83 - 0.2
2 - 84 - 0.2
2 - 85 - 0.2
2 - 86 - 0.1
2 - 87 - 0.2
2 - 88 - 0.2
2 - 89 - 0.2
2 - 90 - 0.1
2 - 91 - 0.2
2 - 92 - 0.2
2 - 93 - 0.2
2 - 94 - 0.2
2 - 95 - 0.1
2 - 96 - 0.2
2 - 97 - 0.2
2 - 98 - 0.2
2 - 99 - 0.1
2 - 100 - 0.2
5 - 5 - -
5 - 6 - 0.8
5 - 17 - 0.4
5 - 18 - 0.4
5 - 42 - 0.4
11 - 11 - -
11 - 12 - 0.7
11 - 43 - 0.4
11 - 44 - 0.4
36 - 36 - -
46 - 46 - -
